Teste,CVEs,Data,Tipo Falha,CVSS(Score Severidade),Severidade,Documentacao Publica(baseado em quantidade de resultados no google x 1000),Correcao_Gemini%,Correcao_DeepSeekV3%,Correcao_DeepSeekR1%,Tempo_Gemini_Segundos,Tempo_DeepSeekV3_Segundos,Tempo_DeepSeekR1_Segundos,Correcao Individual/Agregada
multi_65vt_lab,CVE-2025-0938,2025,Parsing,6.3,medio,72,55.0,56.95,66.32,11.19,16.3,187.1,Agregada
multi_65vt_lab,CVE-2024-11168,2024,Insecure Service/Access Control,6.3,medio,5.8,55.0,56.95,66.32,11.19,16.3,187.1,Agregada
multi_65vt_lab,CVE-2025-1795,2025,Parsing,2.3,baixo,128,55.0,56.95,66.32,11.19,16.3,187.1,Agregada
,,,,,,,,,,,,,
multi_66vt_metasploit,CVE-1999-0501,1999,Insecure Default Configuration,4.6,medio,16.8,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-1999-0502,1999,Insecure Service / Access Control,7.5,alto,18,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2001-0645,2001,Remote Code Execution (RCE),7.5,alto,19,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2001-1594,2001,Cross-Site Scripting (XSS),10.0,critico,55,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2002-1809,2002,Information Disclosure,7.5,alto,52,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2003-1567,2003,Denial of Service (DoS),5.8,medio,131,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2004-1532,2004,Cross-Site Scripting (XSS),7.5,alto,80,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2004-2357,2004,SQL Injection,6.4,medio,27.8,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2005-0283,2005,Path Traversal,5.0,medio,219,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
multi_66vt_metasploit,CVE-2005-3398,2005,Remote Code Execution (RCE),4.3,medio,36,40.2,48.64,69.6,37.57,65.0,125.9,Agregada
